type,name,ground_area,building_area,stadium_area,stadium_standard,possible_event,complication_year,x,y,w_x,w_y
구기체육관,제주시생활체육관,"10,360","2,211","1,171",48×24×15,"농구,배구, 배드민턴",`98년,,,
구기체육관,한림체육관,"17,428","3,820","1,344",48×28×15,"핸드볼,농구, 배구,배드민턴",`97년,,,
구기체육관,애월체육관,"10,800","2,279",770,35×22×12,"농구,배구, 배드민턴",`94년,,,
구기체육관,구좌체육관,"10,500","2,763","1,104",48×23×12,"농구,배구,배드민턴,핸드볼",`94년,,,
구기체육관,조천체육관,"10,777","1,843",749,35×21×15,"농구,배구,배드민턴,핸드볼",`98년,,,
구기체육관,한경체육관,"22,674",166,735,35×21×15,"농구,배구,배드민턴,핸드볼",`98년,,,
구기체육관,추자체육관,"5,745","1,312",697,34×21×12,"농구,배구,배드민턴,핸드볼",`09년,,,
구기체육관,우도체육관,"3,118","1,204",803,31×26×13,"농구,배구,배드민턴",`09년,,,
구기체육관,동홍생활체육관,"10,500","2,810","1,152",24×48×15,"농구,배구,배드민턴",‘98년,,,
구기체육관,효돈생활체육관,"3,465","2,527","1,152",24×48×17,"농구,배구,배드민턴",‘97년,,,
구기체육관,서귀포시민회관체육관,"6,829","1,623",588,30×18×11,"농구,배구,배드민턴",‘72년,,,
구기체육관,남원 생활체육관,-,"2,505",640,20×32×12,"배드민턴,우슈,유도",‘87년,,,
구기체육관,안덕생활체육관,-,"2,420.08",804,36×22×17.15,"농구,배구,배드민턴",‘98년,,,
구기체육관,표선생활체육관,-,"2,589.48",877,39×22×18.15,"농구,배구,배드민턴",‘98년,,,
투기체육관,유도장,"1,643",957,792,22×36,유도,`02년,,,
생활체육관,제주시국민체육센터,"11,772","3,735","체육관 618, 수영장 776","수영장 25×6레인, 체육관18×34×18","수영,농구,배구,배드민턴",`01년,,,
생활체육관,애월국민체육센터,"7,782","1,542","수영장 526, 헬스장 114",25 × 4레인,"수영, 헬스",`08년,,,
생활체육관,올림픽기념국민생활관,"16,214","6,037",856,21.4×40×14,"배구,배드민턴,농구",‘91년,,,
생활체육관,서귀포국민체육센터,"7,927","7,779","828, 2196","24×36×13, 50m×25m(10레인)","수영,배구, 농구,배드민턴",‘05년,,,
생활체육관,대정문화체육센터,-,"2,598","1,225",46×26×18.2,"농구, 배구, 배드민턴",‘97년,,,
생활체육관,성산국민체육센터,-,"3,274","1,248",26×48×16,"농구, 배구, 배드민턴",‘09년,,,
생활체육관,제주복합체육관,-,"3,813","3,000","배드민턴 20코트, 게이트볼 25×15(8면)","배드민턴, 게이트볼",`14년,,,
생활체육관,서귀포다목적체육관,-,"2,847","1,568",32×49×16,"농구,배드민턴,배구, 핸드볼",`14년,,,
체육문화센터,서귀포체육문화센터,"125,277","2,329",807,"실내체육관 660, 체력단련실 147","요가, 체조, 에어로빅",‘14년,,,
수영장,종합경기장실내수영장,"13,000","8,952","2,993","다이빙25×21×5H, 경영풀50×8레인","수영, 다이빙",`84년,,,
수영장,외도수영장,"3,982","2,182",557,51×11×5,수영연습,`97년,,,
롤러스케이트장,제주종합인라인스케이트연습장,"1,250",-,-,20×50(1면),"인라인,롤러",`08년,,,
롤러스케이트장,서귀포롤러스케이트장,"18,000",132,"6,054","스피드 200, 피겨 25×50",인라인,‘01년,,,
국궁장,제주시한라정,851,151,"4,350",145 × 3사대,궁도,`85년,,,
국궁장,서귀포 궁도장,"10,440",336,"6,380",145×44(30사대),궁도,‘98년,,,
국궁장,삼다정 궁도장,"5,344",202,"3,190",145×22(21사대),궁도,‘10년,,,
국궁장,산방정 궁도장,"4,890",202,"3,190",145×22(21사대),궁도,‘10년,,,
국궁장,백록정 궁도장,"3,132",125.9,"3,132",145×16(15사대),궁도,‘02년,,,
골프연습장,청소년수련원골프연습장,"23,140",270,"1,440","9타석, 24 × 60",골프연습,`96년,,,
전천후게이트볼장,애월전천후게이트볼장,"19,460",989,375,25×15(2면),게이트볼,`06년,,,
전천후게이트볼장,구좌전천후게이트볼장,"70,632","1,021",300,15×20(2면),게이트볼,`06년,,,
전천후게이트볼장,한림전천후게이트볼장,"59,756","1,477",300,15×20(2면),게이트볼,`09년,,,
전천후게이트볼장,조천전천후게이트볼장,"21,370","1,102",300,15×20(2면),게이트볼,`06년,,,
전천후게이트볼장,구좌동부전천후게이트볼장,"2,660",997,300,15×20(2면),게이트볼,`09년,,,
전천후게이트볼장,한경전천후게이트볼장,"1,032","1,032",300,15×20(2면),게이트볼,`09년,,,
전천후게이트볼장,함덕전천후게이트볼장,500,395,300,15×20(1면),게이트볼,`11년,,,
전천후게이트볼장,애월동부전천후게이트볼장,"1,000",998,300,15×20(2면),게이트볼,`11년,,,
전천후게이트볼장,삼양전천후게이트볼장,"13,520","1,184",600,15×20(2면),게이트볼,`13년,,,
전천후게이트볼장,서귀포시전천후게이트볼장,"33,630","4,486","2,400",25×15(8면),게이트볼,‘11년,,,
전천후게이트볼장,남원전천후게이트볼장,"35,790","1,000",600,15×20(2면),게이트볼,‘07년,,,
전천후게이트볼장,대정전천후게이트볼장,"66,115","1,132",600,15×20(2면),게이트볼,‘06년,,,
전천후게이트볼장,표선전천후게이트볼장,"66,751","1,119",600,15×20(2면),게이트볼,‘03년,,,
전천후게이트볼장,성산서부전천후게이트볼장,"6,095","1,213",600,15×20(2면),게이트볼,‘09년,,,
전천후게이트볼장,남원위미전천후게이트볼장,"2,000",995,600,15×20(2면),게이트볼,‘05년,,,
전천후게이트볼장,제주공천포전지훈련센터 게이트볼장,-,"1,093",750,25×15(2면),게이트볼,‘11년,,,
전천후게이트볼장,강정전천후게이트볼장,"2,525",498,300,25×15(1면),게이트볼,`12년,,,
전천후게이트볼장,태흥리농어촌복합체육시설,"13,520","1,184",600,25×15(1면),게이트볼,`13년,,,
전천후게이트볼장,보성리전천후게이트볼장,"2,904",493,300,25×15(1면),게이트볼,`15년,,,
전천후게이트볼장,중문동전천후게이트볼방,"2,489",487,300,25×15(1면),게이트볼,`15년,,,
기타,조천론볼링장,"21,370",-,600,20×30(1면),론볼,`01년,,,
기타,한림론볼링장,"58,490","1,860","1,480",40×40(1면),론볼,`12년,,,
기타,동아마라톤센터,"16,589","2,017","12,000",3m×4km,마라톤훈련,‘05년,,,
기타,실내암장,,"1,273",127.3,9.5m×13.4m,암벽등반훈련,`14년,,,
